"dir","goid","NCX_E50","NCX_E70","NCX_E80","NCX_E90","NCX_E120","NCX_0M","NCX_3M","NCX_12M","NCX_48M","HP_E50","HP_E70","HP_E80","HP_E90","HP_E120","HP_0M","HP_3M","HP_12M","HP_48M","AM_E50","AM_E70","AM_E80","AM_E90","AM_E120","AM_0M","AM_3M","AM_12M","AM_48M","BG_E50","BG_E70","BG_E80","BG_E90","BG_E120","BG_0M","BG_3M","BG_12M","BG_48M","TH_E70","TH_E80","TH_E90","TH_E120","goterm"
"increasing","GO:0023052",0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,"signaling"
"increasing","GO:0044700",0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,"single organism signaling"
"increasing","GO:0007154",0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,"cell communication"
"increasing","GO:0007268",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,"synaptic transmission"
"increasing","GO:0007267",1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,"cell-cell signaling"
"increasing","GO:0003008",0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,"system process"
"increasing","GO:0007610",0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,"behavior"
"increasing","GO:0050896",0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,"response to stimulus"
"increasing","GO:0044707",0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,"single-multicellular organism process"
"increasing","GO:0050877",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,"neurological system process"
