"","dir1","NCX.HP","NCX.AM","NCX.BG","HP.AM","HP.BG","BG.AM","mean_pw"
"GO:0023052","increasing",0.166666666666667,0.4,0.166666666666667,0.75,0.8,0,0.380555555555556
"GO:0044700","increasing",0.4,0.2,0.2,0.25,1,0.333333333333333,0.397222222222222
"GO:0007154","increasing",0.2,0.4,0.333333333333333,0.2,1,1,0.522222222222222
"GO:0007268","increasing",0.285714285714286,0.714285714285714,0.571428571428571,0.125,0.142857142857143,0.4,0.373214285714286
"GO:0007267","increasing",0.166666666666667,0.714285714285714,0.333333333333333,0.333333333333333,0.142857142857143,0.8,0.415079365079365
"GO:0003008","increasing",0.333333333333333,0.333333333333333,0.166666666666667,0.428571428571429,0.8,0.166666666666667,0.371428571428571
"GO:0007610","increasing",0.166666666666667,0.5,0.5,0.666666666666667,0.666666666666667,0.5,0.5
"GO:0050896","increasing",1,0,0.5,0.75,1,0.75,0.666666666666667
"GO:0044707","increasing",0,0.5,0.666666666666667,0.75,0.75,0.5,0.527777777777778
"GO:0050877","increasing",0.555555555555556,0.375,0.125,0.428571428571429,0.285714285714286,0.111111111111111,0.313492063492063
"GO:0006811","increasing",0.428571428571429,0.285714285714286,0.125,0.333333333333333,0.571428571428571,0.166666666666667,0.318452380952381
"GO:0065008","increasing",0.8,0.2,0.6,0.428571428571429,0.4,1,0.571428571428571
"GO:0032501","increasing",0.333333333333333,0.6,0.25,0.333333333333333,0.333333333333333,0.75,0.433333333333333
"GO:0048731","increasing",0.6,1,0.6,0.666666666666667,0,0.166666666666667,0.505555555555556
"GO:0007399","increasing",0.5,0.5,0.2,0.6,0.4,0.5,0.45
"GO:0043269","increasing",0.5,0.25,0.428571428571429,0.5,1,0.285714285714286,0.494047619047619
"GO:0007275","increasing",0.5,0.5,0.5,0.2,0.25,0.333333333333333,0.380555555555556
"GO:0055085","increasing",0.333333333333333,0.333333333333333,0.666666666666667,0.166666666666667,0.5,0.25,0.375
"GO:0044708","increasing",0.285714285714286,0.142857142857143,0.428571428571429,0.833333333333333,0.333333333333333,0.6,0.437301587301587
"GO:0048856","increasing",0.5,0.333333333333333,0.4,0.4,0.5,0.285714285714286,0.403174603174603
"GO:0044763","increasing",0.25,0.333333333333333,0.666666666666667,0.5,0.666666666666667,0.5,0.486111111111111
"GO:0044699","increasing",0.666666666666667,0.4,0.5,0.75,0.75,0.75,0.636111111111111
"GO:0007165","increasing",0.333333333333333,0.75,0.4,0.5,0.333333333333333,0.5,0.469444444444444
"GO:0022610","increasing",0.5,0.75,0.166666666666667,0.75,0.75,0.8,0.619444444444444
"GO:0007155","increasing",0.25,0.75,0,0,0.25,0,0.208333333333333
"GO:0044767","increasing",0.75,0.75,1,0.5,0.2,0.5,0.616666666666667
"GO:0030001","increasing",0.666666666666667,0.125,0.666666666666667,0.5,0.333333333333333,0.5,0.465277777777778
"GO:0044765","increasing",0.6,0.6,0.5,0.5,0.666666666666667,0.75,0.602777777777778
"GO:0032502","increasing",0.25,0.5,0.285714285714286,0,0,0.5,0.255952380952381
"GO:0014070","increasing",0.375,0.5,0.285714285714286,0.5,0.333333333333333,0.5,0.415674603174603
"GO:0042221","increasing",0.8,0.75,0.333333333333333,0.2,0.75,0.5,0.555555555555556
"GO:0051179","increasing",0,0,0.75,0.75,0.2,0.75,0.408333333333333
"GO:0032879","increasing",0.8,0.142857142857143,0.4,0.333333333333333,0.333333333333333,0.75,0.459920634920635
"GO:0051716","increasing",0.75,0.5,0.5,0.5,0.2,0.375,0.470833333333333
"GO:0034220","increasing",0.285714285714286,0.333333333333333,0,0.666666666666667,0.333333333333333,0.285714285714286,0.317460317460317
"GO:0006928","increasing",0,0.6,0.5,0.75,0.25,0.25,0.391666666666667
"GO:0007186","increasing",0.5,0.25,0.5,0.6,0,0.2,0.341666666666667
"GO:0040011","increasing",0.333333333333333,0.4,0.2,0.5,0,0.25,0.280555555555556
"GO:0009719","increasing",0.4,0.25,0.666666666666667,0.5,0.25,1,0.511111111111111
"GO:0023051","increasing",0.25,0.5,0.5,0.75,0.8,0.8,0.6
"GO:0035637","increasing",0.571428571428571,0.571428571428571,0.375,0.375,0.142857142857143,0.25,0.380952380952381
"GO:0051239","increasing",0.25,1,0,0.333333333333333,0.5,0.5,0.430555555555556
"GO:0007611","increasing",0.428571428571429,0.428571428571429,0.571428571428571,0.5,0.5,0.4,0.471428571428571
"GO:0010646","increasing",0.75,0.5,1,0.6,0.2,0.25,0.55
"GO:0051049","increasing",0.2,0.4,0.666666666666667,0.428571428571429,0.25,0.333333333333333,0.379761904761905
"GO:0016477","increasing",1,0,0.6,1,0.4,0.5,0.583333333333333
"GO:0030154","increasing",0.75,1,0.2,1,0.333333333333333,0.5,0.630555555555556
"GO:0050804","increasing",0.571428571428571,0.285714285714286,0.428571428571429,0.222222222222222,0.571428571428571,0.166666666666667,0.374338624338624
"GO:0042391","increasing",0.5,0.375,0.125,0.285714285714286,0.571428571428571,0,0.30952380952381
"GO:0010033","increasing",0.75,0.75,0.5,0.4,0.8,0.285714285714286,0.580952380952381
"GO:0050801","increasing",0.142857142857143,0.428571428571429,0.285714285714286,0.166666666666667,0.428571428571429,0.4,0.308730158730159
"GO:0007166","increasing",0.6,0.25,0.25,0,0.333333333333333,0.8,0.372222222222222
