E80_L1	E80_L2_3	E80_L4	E80_L5	E80_L6	E80_WM	E90_L1	E90_L2_3	E90_L4	E90_L5	E90_L6	E90_WM	E120_L1	E120_L2_3	E120_L4	E120_L5	E120_L6	E120_WM	0M_L1	0M_L2_3	0M_L4	0M_L5	0M_L6	0M_WM	3M_L1	3M_L2_3	3M_L4	3M_L5	3M_L6	3M_WM	12M_L1	12M_L2_3	12M_L4	12M_L5	12M_L6	12M_WM	48M_L1	48M_L2_3	48M_L4	48M_L5	48M_L6	48M_WM
F13A1	MYCN	LOC711681	GRIK1	POSTN	LOC100423631	INSM2	ATP8A2	POLQ	GREM1	COL12A1	LOC100423899	NDNF	LOC696649	OTOR	LALBA	OPRK1	ENPP6	NDNF	TAF7L	MATN4	CAPSL	SERPINB5	CLDND1	NDNF	ZNF184	AFM	DRD2	LOC711575	LOC704829	NDNF	ARPP19	AFM	LOC694038	DSG2	GOLGA7	PLN	TMEM108	LOXL2	LOC713151	NXPH3	LOC694854
TAGLN2	NXT2	PDE3A	ADAMTS6	SOSTDC1	LRP8	LHX9	TMOD1	RARB	LOC715577	MYO1E	DUSP16	MSX2	MEPE	MBOAT1	ANKRD34C	CA3	BCAS1	MYH11	CTXN3	SPTLC3	MFAP5	FRK	MOB3B	MYH11	PRR15	LOXL2	LOC694038	SERPINB5	ENOSF1	MYH11	FAM84A	STAC	LOC713151	SEMA3D	ST6GALNAC3	NDNF	CTXN3	CPA6	HDGFL1	DSG2	ACE2
MAB21L1	LOC706598	CDH7	LOC100429852	TMEM100	IGF1R	NR2F2	TPM3	LOC711681	C1QL3	FAM101A	LOC701524	C8H8orf4	VCAN	NPY2R	ADAMTS9	SLC26A7	LOC710350	C7	DKK1	POLQ	GFRA3	LOC713154	CLCA1	ACTA2	CTXN3	LEPR	NRTN	NXPH3	ST6GALNAC3	PLN	ZNF184	CPA6	HDGFL1	PAPPA2	LOC708395	COL1A1	FREM3	UNC45B	CALCB	SEMA3D	ELOVL1
PAQR6	LOC711199	HCN1	GRM8	LOC100423131	DEPTOR	NDNF	LHX2	WFS1	LOC707198	LOC713545	LOC715949	HAPLN1	STEAP1	POLQ	SPINK5	PTH2R	LOC694854	FGD5	LOC694004	RASSF6	RAB20	LOC703544	TJAP1	KERA	GALNT13	SMPX	LOC713151	PAPPA2	ITIH1	COL1A1	CTXN3	UNC45B	HTR3A	NPY2R	ADIPOR2	ACTG2	WDR16	LOC709920	PDYN	LOC708263	LOC713032
ANXA6	SLC7A11	RORA	LOC712844	LOC714042	LOC715949	LHX6	TDRD7	GDF10	MUM1L1	LOC714010	NDP	CXCL14	TDRD7	TDRD6	LOC704044	NRG1	C14H11orf9	OAF	PRR15	GPR6	SPINK5	NECAB1	LOC694854	PCOLCE	LOC712408	CLEC3A	CALCB	CLDN1	LOC694854	KERA	PIAS1	CLEC3A	WNT7B	NXPH3	LOC716237	KREMEN1	SESN1	AFM	LOC711450	SPRY2	SCARB2
NDNF	DPYSL2	CNTN6	SLC5A7	WNT7B	HAS3	ZBTB16	PTPRF	LOC710159	MTR	EPHB3	NRP1	LRP3	LOC694004	EXPH5	GREM1	GADL1	SLC14A1	LOC708539	DSG3	RBMS1	LALBA	LOC711575	CHI3L2	SMAD6	CEP70	RASSF6	ZYX	FAM117A	LOC708164	ACTG2	BATF	SMPX	RAB17	MCTP1	RIPPLY1	KERA	NEK2	SMPX	NTNG2	PIK3C2G	LOC710721
RPH3A	LOC714896	NPY2R	MUM1L1	PAPPA2	NRP1	PAQR6	SHISA2	CHST2	ADAMTS6	SOSTDC1	LOC706509	PDE7B	LOC718726	ARL15	THBS2	SERPINB5	AIF1	FBLN5	LOC100424400	SMPX	PDE1C	LGR5	CA14	COL1A1	LOC694670	LOC712305	HDGFL1	FRK	EHHADH	ACTA2	FREM3	LOXL2	DRD2	LOC711575	LOC697095	CPLX3	ASXL3	IRF6	MAB21L1	NPY2R	LOC697570
LOC708409	USO1	ZNF333	SEZ6L	WIF1	PRSS12	LOC717705	BCAS4	ARNTL	HAS2	DUSP9	GINS2	HS3ST3A1	TMEFF2	SEMA3F	GRM8	NEB	SLC6A7	RPL27	TWIST1	UNC45B	TOX	SLC27A2	GJC2	METTL7B	LRRTM4	GPR6	PLXDC1	LOC100424360	GABRE	LOC717414	VIP	TRIM54	PDE1C	MUM1L1	TTC32	MYH11	FLRT2	TRIM54	LOC706509	SERPINB5	MYO1E
LOC716173	EIF4G2	CDH6	SPATA17	MAMDC2	LOC701524	ARX	SERPINE2	ARL15	ANO3	EFNA5	LRP8	TNFAIP8L3	TMEM2	LOC574390	SLC30A3	LGR5	PLN	LOC708140	LOC100425803	CENPF	HDGFL1	TEX15	TSPAN15	PHKA1	NEK2	CENPF	TYRP1	MUM1L1	SYNGR2	IGFBP4	IRX6	TSPAN14	CALCB	PIK3C2G	GJC2	METTL7B	CHCHD7	RADIL	ZFP64	MUM1L1	LOC715816
GAD2	LOC100427527	LOC715338	ANO3	XCL1	FOXO3	FGD5	MYCN	NR1D1	HMGCLL1	CRTAC1	NHLH1	ROR1	STC1	SLC2A8	RORA	C8orf34	CLDN11	RPS21	LOC694192	TNNC2	LRRK1	SRPX2	CPM	CRIP1	HPGD	ASB5	GRM8	LOC713154	CLCA1	LOC718169	LRRTM4	NKX3-1	PDYN	CA12	CD44	LUM	UNC13B	DFNB31	LOC696983	MCTP1	LOC100424272
VASH1	LOC706341	POLQ	NOD2	PACRG	LOC716862	CHCHD7	MET	RSPO2	FUT9	LOC714876	TTYH2	TPD52L1	MET	TRPM6	MFAP5	APP	SERPINA3	PTPRM	SDR16C5	TNNT2	MAB21L1	LOC713545	SNX30	ITIH2	GSG1L	UNC45B	LOC713644	SYT6	MPL	METTL7B	ASXL3	RASSF6	LOC693620	FRK	LOC699276	COL1A2	EMILIN3	CENPF	PDE1C	AGTR1	TMEM27
LOC710658	SLC27A2	GDF10	ETS2	NECAB1	MUC15	LOC697982	LOC710784	PREX1	EXT1	PHYHIP	LOC719036	F13A1	FAM136A	TRPC3	LOC712844	BDNF	BTG2	RPL37A	VIP	CLEC3A	GALR1	SYT6	SLC45A3	SLC13A4	TMEM200A	STAC	TOX	MMP1	LOC697095	SLC13A4	TWIST1	MATN4	SYNPO2	CYP26A1	TMC7	LYVE1	FST	TM4SF20	HTR3A	SSTR2	TMC7
CYGB	BBS2	AGPAT4	NFKBIZ	RGS6	LOC722397	ERBB4	SLC27A2	MICAL2	SLIT2	GFRA1	INHBB	HNRNPA1	LOC708067	HCN3	LOC678699	LOC719943	SOX3	RPS15	LOC701270	MYH4	AMIGO2	MMP1	CD44	LOC721855	CEP72	MATN4	LRRK1	MCTP1	HOXD1	CLDN10	LOC708067	ASB5	MAB21L1	SCGB3A2	ELOVL1	JPH2	ZNF184	CLEC3A	LOC694038	CYR61	ADIPOR2
