"gene","M-F_log2ratio","pval","chr","human_ortholog"
"LOC693361",3.09135336807307,0.00960854533469779,"6",NA
"EIF1AY",2.22441505776504,3.29200014184128e-05,"Y","EIF1AY"
"LOC712403",0.786704037036905,0.0152535252005188,"13",NA
"VPS35",0.633870884948417,0.0168719980106087,"20","VPS35"
"LOC717589",0.604400386033763,0.00143439438091852,"3",NA
"SPATA22",0.529215544678834,0.272990807928687,"16","SPATA22"
"LOC720563",0.475299458413516,6.81074586985631e-05,"PAR","CD99"
"LOC703716",0.461815694162394,0.149468785750288,"11",NA
"MESP2",0.454182204571442,0.0626593459841228,"7","MESP2"
"UHRF1",0.423763720183324,0.172077365525766,"19","UHRF1"
"LOC717189",0.397575732845645,0.0236429713387195,"2","KRBOX1"
"C1H1orf21",0.338998194290166,0.0168747822473205,"1","C1orf21"
"EIF3L",0.303241957369569,0.031104833751797,"10","EIF3L"
"UGGT1",0.301290619353366,0.00372498509637198,"13","UGGT1"
"LOC703781",0.297563991947688,0.135748882659169,"2","RARRES1"
"METTL21A",0.291076163563621,0.0388608487335775,"12","METTL21A"
"RGMB",0.285985336785463,0.13526288296752,"6","RGMB"
"DHRS1",0.279612386440804,0.021306047987914,"7","DHRS1"
"LRRC37A3",0.275178819590716,0.0565431583958662,"16","LRRC37A2"
"CCDC122",0.263596593289782,0.121034479276351,"17","CCDC122"
"PIGG",0.26010479948664,4.28064409185858e-06,"1","PIGG"
"LOC721789",0.257023029548186,0.387055324268412,"9","DIP2C"
"NIPSNAP3B",0.256466207898611,0.251299000578352,"15","NIPSNAP3B"
"MAMU-A",0.252309157635008,0.100479393789018,"4",NA
"BHMT",0.252038150515818,0.13764193790572,"6","BHMT"
"LOC100423984",0.246231213502518,0.113869453244215,"16",NA
"MAP1LC3B",0.244658985394871,0.0528330189956563,"20","MAP1LC3B"
"ASB8",0.241473557774226,0.105144376836789,"11","ASB8"
"LOC719863",0.239308918606076,0.199316801480182,"1","KLHDC9"
"UBE2L3",0.236382934789891,0.0260915058151399,"X","UBE2L3"
"RRP7A",0.231236757711394,0.0155563830533523,"10","RRP7A"
"ASB7",0.230710866420499,0.0805287583906094,"7","ASB7"
"ANKRD13C",0.229920374572005,0.102660067602467,"1","ANKRD13C"
"HOMER1",0.226311933695034,0.46896363490537,"6","HOMER1"
"LOC696186",0.226184248899715,0.0736484225225106,"7","WDR73"
