NCX_E50	NCX_E70	NCX_E80	NCX_E90	NCX_E120	NCX_0M	NCX_3M	NCX_12M	NCX_48M	HP_E50	HP_E70	HP_E80	HP_E90	HP_E120	HP_0M	HP_3M	HP_12M	HP_48M	AM_E50	AM_E70	AM_E80	AM_E90	AM_E120	AM_0M	AM_3M	AM_12M	AM_48M	BG_E50	BG_E70	BG_E80	BG_E90	BG_E120	BG_0M	BG_3M	BG_12M	BG_48M	TH_E70	TH_E80	TH_E90	TH_E120
PCDH8	INHBA	NPY	AQP4	CLDN10	EGR2	MMP16	PIR	CNDP1	PCDH8	LOC100429485	BMPR1B	AQP4	CLDN10	AGXT2L1	ERMN	PIR	HOMER1	NPR3	AQP4	AGT	AQP4	DIO2	ALDH1A1	ERMN	PIR	GPNMB	PDE1C	SPARCL1	HAPLN1	AQP4	MYBPC1	ALDH1A1	WIF1	PIR	HOMER1	SPARCL1	CBLN4	AQP4	CRH
PDE1C	SATB2	THRB	LOC100429485	GJA1	LOC100424432	ERMN	KCNS1	HBB	CNTN1	PDGFRA	SLC7A11	CRH	TMEM14B	LOC710350	LOC100428682	LOC697267	PLAC9	TFAP2D	SPARCL1	RFTN2	CRH	CLDN10	LOC710350	LOC710350	HBB	HOMER1	LOC693361	BBOX1	BMPR1B	LOC721561	S100B	MOBP	CPEB1	SCN7A	SCIN	TNC	GAD1	LOC100430230	DIO2
LOC100426423	LOC694524	RASGRP1	KLF9	RGS4	NR4A1	LOC710350	MED23	ANLN	HMP19	GAD1	SLCO1C1	KLF9	ALDH1A1	LOC712742	ANLN	ANXA4	DNLZ	KITLG	TNC	LOC100429055	LOC100430230	TMEM14B	EIF1AY	LOC713110	LOC699512	CNDP1	SYNPR	AQP4	ITPR2	LOC100430230	TMEM14B	LOC100425025	TMEM144	OLAH	CNDP1	MEF2D	KLF9	LOC693611	CLDN10
ELMOD1	CADM2	LOC100429485	LOC721561	AQP4	AGXT2L1	LOC697272	LTB	HOMER1	SLC8A1	CDH8	AGT	IRAK3	KALRN	ALDH1A1	LOC710350	SMAD9	MUM1L1	SV2B	LOC701270	SLC7A11	LOC708263	AGXT2L1	CALCR	LOC100425025	ACBD7	SPP1	INHBA	CXCL14	PABPC1	KLF9	CLDN10	AGXT2L1	AKR1C1	SMAD9	NPC1L1	PTPN3	IGF1	WDR35	CLDN11
PAG1	MOXD1	KLF9	CRH	LOC699459	SYTL2	ANLN	OLAH	LOC717240	PDE1C	HAPLN1	AQP4	LOC721561	FGF1	LOC100425025	MAL	SCN7A	LOC696253	FEZF2	BBOX1	HAPLN1	LOC693611	MYBPC1	MOBP	MAL	WWC3	LPAR3	TGFA	MUC4	RFTN2	LOC693611	FGF1	PLP1	LOC713110	SHISA2	LOC100423098	SLC1A3	HAPLN1	IRAK3	COL1A1
LOC700636	DIO2	LOC100425713	IRAK3	CXCL14	LOC712742	MOBP	LOC719863	LOC100423098	CHL1	CLDN11	SPARCL1	LOC100430230	RASAL1	MOBP	FAM58A	ACBD7	LRRC8B	LOC700098	LOC722330	ITPR2	LOC696317	AGT	AGXT2L1	MOBP	DOCK5	LOC100423098	SLC8A1	PPP2R2C	P2RY1	IRAK3	COL1A1	EIF1AY	KANK4	CD3D	HBB	MGST1	HHIP	COL4A3	TMEM14B
CLMP	PTX3	ACVR1C	LOC693611	ALDH1A1	GPR158	LOC100425025	GREB1	RNF6	LOC100426423	DLX2	KAL1	MYBPC1	HLF	AOX1	CHCHD3	BHMT	LOC709786	PDGFRA	WIF1	SLCO1C1	KLF9	COL1A1	LOC100425025	PLP1	SMAD9	ANLN	CPNE4	KIAA1024	AGT	MYBPC1	SERPINA3	LOC710350	PRELP	DOCK5	LOC715264	LOC698043	AGT	PABPC1	IGSF1
HMP19	ADRA2A	IGF1	KCNT2	DBC1	GABRA5	KIAA0748	SPATA22	LOC713204	PAG1	LOC100429880	ANGPT1	CCBE1	MT3	EIF1AY	LOC713110	LOC711458	MAPK8IP2	LOC695315	SLC1A3	BMPR1B	IRAK3	LOC100424432	C1QL3	MOG	ZNF502	LOC713110	NPY1R	CCDC80	LOC100425713	MFAP3L	AGXT2L1	RERGL	DOCK5	MOXD1	SLC5A11	FGF1	SGPP2	KLF9	BCAS1
FIBIN	ITPR1	LOC712107	LOC100430230	LOC695412	RGS4	MAL	BHMT	C7orf46	GABBR2	OLFM3	RFTN2	SPTAN1	DBC1	PIP5K1B	LASS3	SLC14A1	AKR1C1	ANO3	AK4	PAG1	RGN	S100B	SDC4	ANLN	CST6	CYB5D2	CNTN4	SLC15A2	SLC7A11	IGSF1	IGSF1	NCDN	LOC701314	ZNF502	LOC699332	LOC722330	ITGA8	NPAS3	LOC710350
GRIA2	LOC712795	SNCA	MFAP3L	TAC1	EGR3	LOC713110	PLEKHA2	LOC713110	KCNJ6	HAS2	NTRK2	SPARCL1	TUBA4A	LOC100428139	SLC5A11	F13A1	LOC100423915	LOC706574	GJA1	RERG	LIG4	C20orf103	LOC100424432	LOC701314	CLCNKA	LOC717240	PCDHA6	LOC709676	SLCO1C1	TMEM100	TPPP	LOC712742	RORB	SPP1	DNLZ	MYOT	INPP4B	ARX	KCTD8
