layer,bottom,top
CPo,-3.5,-1
CPi,-6.9,-4.5
L1,-0.9,0
L2,-2,-1
L3,-3,-2
L2-3,-3,-1
L4,-5,-3
L5,-6,-5
L6,-6.9,-6
L4A,-3.5,-3
L4B,-4,-3.5
L4Ca,-4.5,-4
L4Cb,-5,-4.5
4A,-3.5,-3
4B,-4,-3.5
4Ca,-4.5,-4
4Cb,-5,-4.5
MZ,-0.9,0
IZ,-8.9,-8.1
ICD,-8.1,-7.9
SP,-7.9,-7
WM,-8.9,-8
OFZ,-9.3,-9
TMZ,-9.5,-9.3
IFZ,-11,-10.75
SZ,-12,-9.5
SZo,-10.75,-9.5
SZi,-12,-11
VZ,-14,-12
VZo,-13,-12
VZi,-14,-13
LGE,-17.7,-16.7
LGEcx,-16.7,-16.2
MGE,-17.7,-16.2
CGE,-17.7,-16.2
pc,-19.4,-18.9
mc,-18.9,-18.4
kc,-18.4,-17.9
DLG,-19.4,-17.9
Bottom,-19.5,-17.7
