Gene,Category
ABCC8,ExcitatoryNeuron_MCT
ABCG2,ExcitatoryNeuron_MCT
ACAP3,ExcitatoryNeuron_MCT
ACTN4,ExcitatoryNeuron_MCT
ACVR1C,ExcitatoryNeuron_MCT
ADAM11,ExcitatoryNeuron_MCT
ADCY9,ExcitatoryNeuron_MCT
ADORA1,ExcitatoryNeuron_MCT
AIFM3,ExcitatoryNeuron_MCT
AK5,ExcitatoryNeuron_MCT
ANO3,ExcitatoryNeuron_MCT
ANXA11,ExcitatoryNeuron_MCT
ARHGAP20,ExcitatoryNeuron_MCT
ARHGAP25,ExcitatoryNeuron_MCT
ARHGAP32,ExcitatoryNeuron_MCT
ARHGAP33,ExcitatoryNeuron_MCT
ARNTL,ExcitatoryNeuron_MCT
ARPP21,ExcitatoryNeuron_MCT
ATP1A1,ExcitatoryNeuron_MCT
ATP2B4,ExcitatoryNeuron_MCT
ATP9B,ExcitatoryNeuron_MCT
B4GALT2,ExcitatoryNeuron_MCT
BAIAP2,ExcitatoryNeuron_MCT
BDNF,ExcitatoryNeuron_MCT
BEND5,ExcitatoryNeuron_MCT
BHLHE22,ExcitatoryNeuron_MCT
BHLHE40,ExcitatoryNeuron_MCT
BTG2,ExcitatoryNeuron_MCT
C1QL3,ExcitatoryNeuron_MCT
CACNA2D1,ExcitatoryNeuron_MCT
CADPS2,ExcitatoryNeuron_MCT
CAMK4,ExcitatoryNeuron_MCT
CAMKK1,ExcitatoryNeuron_MCT
CBLN4,ExcitatoryNeuron_MCT
CCDC80,ExcitatoryNeuron_MCT
CCNG1,ExcitatoryNeuron_MCT
CDH6,ExcitatoryNeuron_MCT
CHST1,ExcitatoryNeuron_MCT
CMPK2,ExcitatoryNeuron_MCT
CNKSR2,ExcitatoryNeuron_MCT
COBL,ExcitatoryNeuron_MCT
COCH,ExcitatoryNeuron_MCT
CPNE9,ExcitatoryNeuron_MCT
CRHR1,ExcitatoryNeuron_MCT
CRYM,ExcitatoryNeuron_MCT
CSGALNACT1,ExcitatoryNeuron_MCT
CTNND1,ExcitatoryNeuron_MCT
DAPK2,ExcitatoryNeuron_MCT
DBN1,ExcitatoryNeuron_MCT
DCDC2,ExcitatoryNeuron_MCT
DDIT4L,ExcitatoryNeuron_MCT
DGKH,ExcitatoryNeuron_MCT
DKK3,ExcitatoryNeuron_MCT
DNAJB5,ExcitatoryNeuron_MCT
DOC2A,ExcitatoryNeuron_MCT
DPY19L1,ExcitatoryNeuron_MCT
DTL,ExcitatoryNeuron_MCT
DUSP1,ExcitatoryNeuron_MCT
DUSP14,ExcitatoryNeuron_MCT
EGR1,ExcitatoryNeuron_MCT
EGR2,ExcitatoryNeuron_MCT
ELK4,ExcitatoryNeuron_MCT
EMX1,ExcitatoryNeuron_MCT
ENC1,ExcitatoryNeuron_MCT
EPHA4,ExcitatoryNeuron_MCT
EPHB6,ExcitatoryNeuron_MCT
ETS2,ExcitatoryNeuron_MCT
EXPH5,ExcitatoryNeuron_MCT
EXT1,ExcitatoryNeuron_MCT
EXTL1,ExcitatoryNeuron_MCT
FAM131A,ExcitatoryNeuron_MCT
FAM19A1,ExcitatoryNeuron_MCT
FAM60A,ExcitatoryNeuron_MCT
FBXO34,ExcitatoryNeuron_MCT
FEZF2,ExcitatoryNeuron_MCT
FHL2,ExcitatoryNeuron_MCT
FMNL1,ExcitatoryNeuron_MCT
FOXP1,ExcitatoryNeuron_MCT
FSTL4,ExcitatoryNeuron_MCT
GATM,ExcitatoryNeuron_MCT
GLT8D2,ExcitatoryNeuron_MCT
GRM2,ExcitatoryNeuron_MCT
GRM3,ExcitatoryNeuron_MCT
GSTA4,ExcitatoryNeuron_MCT
HERC4,ExcitatoryNeuron_MCT
HERC6,ExcitatoryNeuron_MCT
HRH1,ExcitatoryNeuron_MCT
HS2ST1,ExcitatoryNeuron_MCT
HS3ST2,ExcitatoryNeuron_MCT
HS3ST4,ExcitatoryNeuron_MCT
HSPB3,ExcitatoryNeuron_MCT
IFT122,ExcitatoryNeuron_MCT
ING2,ExcitatoryNeuron_MCT
INTS7,ExcitatoryNeuron_MCT
IPCEF1,ExcitatoryNeuron_MCT
ITGAV,ExcitatoryNeuron_MCT
ITPKA,ExcitatoryNeuron_MCT
KCNC4,ExcitatoryNeuron_MCT
KCNH5,ExcitatoryNeuron_MCT
KCNIP3,ExcitatoryNeuron_MCT
KCNJ6,ExcitatoryNeuron_MCT
KCNK4,ExcitatoryNeuron_MCT
KCNV1,ExcitatoryNeuron_MCT
KCTD4,ExcitatoryNeuron_MCT
KITLG,ExcitatoryNeuron_MCT
KLF10,ExcitatoryNeuron_MCT
KLF7,ExcitatoryNeuron_MCT
KLHL2,ExcitatoryNeuron_MCT
