Gene,Category
CDC45L,CellCycle_all_BarJoseph2008
CDC6,CellCycle_all_BarJoseph2008
CDC7,CellCycle_all_BarJoseph2008
MCM2,CellCycle_all_BarJoseph2008
MCM3,CellCycle_all_BarJoseph2008
MCM4,CellCycle_all_BarJoseph2008
MCM5,CellCycle_all_BarJoseph2008
MCM6,CellCycle_all_BarJoseph2008
ORC1L,CellCycle_all_BarJoseph2008
ORC3L,CellCycle_all_BarJoseph2008
ORC6L,CellCycle_all_BarJoseph2008
PSF1,CellCycle_all_BarJoseph2008
PFS2,CellCycle_all_BarJoseph2008
MCM7,CellCycle_all_BarJoseph2008
MCM10,CellCycle_all_BarJoseph2008
ADA,CellCycle_all_BarJoseph2008
CTPS,CellCycle_all_BarJoseph2008
PRPS2,CellCycle_all_BarJoseph2008
DTYMK,CellCycle_all_BarJoseph2008
DHFR,CellCycle_all_BarJoseph2008
RRM1,CellCycle_all_BarJoseph2008
RRM2,CellCycle_all_BarJoseph2008
FANCA,CellCycle_all_BarJoseph2008
H2AFX,CellCycle_all_BarJoseph2008
HMGB2,CellCycle_all_BarJoseph2008
MRE11A,CellCycle_all_BarJoseph2008
NEIL3,CellCycle_all_BarJoseph2008
POLQ,CellCycle_all_BarJoseph2008
RAD51C,CellCycle_all_BarJoseph2008
RAD51L1,CellCycle_all_BarJoseph2008
RAD54L,CellCycle_all_BarJoseph2008
RFC2,CellCycle_all_BarJoseph2008
TDP1,CellCycle_all_BarJoseph2008
TOP2A,CellCycle_all_BarJoseph2008
XRCC4,CellCycle_all_BarJoseph2008
BARD1,CellCycle_all_BarJoseph2008
BLM,CellCycle_all_BarJoseph2008
BRCA1,CellCycle_all_BarJoseph2008
BRIP1,CellCycle_all_BarJoseph2008
DCLRE1A,CellCycle_all_BarJoseph2008
DCLRE1B,CellCycle_all_BarJoseph2008
DDX11,CellCycle_all_BarJoseph2008
DNA2L,CellCycle_all_BarJoseph2008
EXO1,CellCycle_all_BarJoseph2008
FANCG,CellCycle_all_BarJoseph2008
FANCL,CellCycle_all_BarJoseph2008
FEN1,CellCycle_all_BarJoseph2008
GMNN,CellCycle_all_BarJoseph2008
ING2,CellCycle_all_BarJoseph2008
MLH3,CellCycle_all_BarJoseph2008
MSH2,CellCycle_all_BarJoseph2008
MSH5,CellCycle_all_BarJoseph2008
MSH6,CellCycle_all_BarJoseph2008
PARP2,CellCycle_all_BarJoseph2008
PCNA,CellCycle_all_BarJoseph2008
POLD3,CellCycle_all_BarJoseph2008
POLE,CellCycle_all_BarJoseph2008
POLE2,CellCycle_all_BarJoseph2008
PRIM2A,CellCycle_all_BarJoseph2008
RAD51AP1,CellCycle_all_BarJoseph2008
RAD54B,CellCycle_all_BarJoseph2008
RECQL4,CellCycle_all_BarJoseph2008
RFC3,CellCycle_all_BarJoseph2008
RFC4,CellCycle_all_BarJoseph2008
RPA2,CellCycle_all_BarJoseph2008
TOPBP1,CellCycle_all_BarJoseph2008
TREX1,CellCycle_all_BarJoseph2008
UNG,CellCycle_all_BarJoseph2008
USP1,CellCycle_all_BarJoseph2008
DCLRE1C,CellCycle_all_BarJoseph2008
PRIM1,CellCycle_all_BarJoseph2008
RAD1,CellCycle_all_BarJoseph2008
RFC5,CellCycle_all_BarJoseph2008
RNASEH2A,CellCycle_all_BarJoseph2008
CHAF1A,CellCycle_all_BarJoseph2008
CHAF1B,CellCycle_all_BarJoseph2008
EZH2,CellCycle_all_BarJoseph2008
hCAP-D3,CellCycle_all_BarJoseph2008
HIST2H2AA,CellCycle_all_BarJoseph2008
HIST2H4,CellCycle_all_BarJoseph2008
SUPT16H,CellCycle_all_BarJoseph2008
ATF7IP,CellCycle_all_BarJoseph2008
BRD4,CellCycle_all_BarJoseph2008
DNMT3B,CellCycle_all_BarJoseph2008
H1F0,CellCycle_all_BarJoseph2008
HMG20B,CellCycle_all_BarJoseph2008
H2AFV,CellCycle_all_BarJoseph2008
HAT1,CellCycle_all_BarJoseph2008
HIRIP3,CellCycle_all_BarJoseph2008
HIST1H1C,CellCycle_all_BarJoseph2008
HIST1H4C,CellCycle_all_BarJoseph2008
HMGB3,CellCycle_all_BarJoseph2008
WHSC1,CellCycle_all_BarJoseph2008
SAP30,CellCycle_all_BarJoseph2008
SUV39H1,CellCycle_all_BarJoseph2008
CCNE1,CellCycle_all_BarJoseph2008
CCNE2,CellCycle_all_BarJoseph2008
CDC25A,CellCycle_all_BarJoseph2008
CLSPN,CellCycle_all_BarJoseph2008
E2F1,CellCycle_all_BarJoseph2008
E2F8,CellCycle_all_BarJoseph2008
IGF1R,CellCycle_all_BarJoseph2008
LCMT2,CellCycle_all_BarJoseph2008
NPAT,CellCycle_all_BarJoseph2008
RBBP8,CellCycle_all_BarJoseph2008
RBL1,CellCycle_all_BarJoseph2008
TFDP1,CellCycle_all_BarJoseph2008
CCNA2,CellCycle_all_BarJoseph2008
CDK2,CellCycle_all_BarJoseph2008
CDK4,CellCycle_all_BarJoseph2008
CDKN2C,CellCycle_all_BarJoseph2008
CDKN2D,CellCycle_all_BarJoseph2008
CHEK2,CellCycle_all_BarJoseph2008
CIZ1,CellCycle_all_BarJoseph2008
CKS1B,CellCycle_all_BarJoseph2008
CKS2,CellCycle_all_BarJoseph2008
E2F5,CellCycle_all_BarJoseph2008
MKI67,CellCycle_all_BarJoseph2008
ASK,CellCycle_all_BarJoseph2008
CDKN1B,CellCycle_all_BarJoseph2008
RBBP6,CellCycle_all_BarJoseph2008
SKP2,CellCycle_all_BarJoseph2008
FBXO5,CellCycle_all_BarJoseph2008
CCNB2,CellCycle_all_BarJoseph2008
CCNF,CellCycle_all_BarJoseph2008
CDC2,CellCycle_all_BarJoseph2008
CDC20,CellCycle_all_BarJoseph2008
