"V1","V2"
"PCDHA11","E90"
"MYCBP2","E90"
"PSD3","E90"
"SLITRK1","E90"
"CRTAC1","E90"
"CD80","E90"
"KCTD12","E90"
"ATP1B1","E90"
"TRPM3","E90"
"LOC704204","E90"
"NDFIP2","E90"
"HADHA","E90"
"HSPA12A","E90"
"DAB1","E90"
"LOC100423442","E90"
"LOC706574","E90"
"LOC698852","E90"
"LOC708395","E90"
"LOC711021","E90"
"LOC712844","E90"
"LOC703270","E90"
"EFNA5","E90"
"PRICKLE2","E90"
"ALCAM","E90"
"LRRN1","E90"
"LOC705288","E90"
"PDE1C","E90"
"DBC1","E90"
"RAPGEF5","E90"
"LOC708998","E90"
"LOC714876","E90"
"GLDC","E90"
"LOC718705","E90"
"POLQ","E90"
"LOC100430941","E90"
"SORCS3","E90"
"LOC697666","E90"
"GRM3","E90"
"IRF2BPL","E90"
"LOC696983","E90"
"WSCD1","E90"
"EPHA4","E90"
"CNN3","E90"
"OSBPL1A","E90"
"KCNQ5","E90"
"FBXO32","E90"
"IL1RAPL1","E90"
"FST","E90"
"PDS5B","E90"
"PELI1","E90"
"RORB","E90"
"SERPINI1","E90"
"ASTN2","E90"
"RAB7L1","E90"
"SEZ6L","E90"
"ID2","E90"
"NR3C1","E90"
"FABP7","E90"
"LOC694524","E90"
"NFIA","E90"
"NELL1","E90"
"LNX2","E90"
"TIAM1","E90"
"SEMA6A","E90"
"LOC100426240","E90"
"KIT","E90"
"LOC712600","E90"
"SLC24A2","E90"
"LOC715864","E90"
"ABAT","E90"
"IRS2","E90"
"PRICKLE1","E90"
"FBXW7","E90"
"EZR","E90"
"PRPS2","E90"
"LOC697155","E90"
"SLC22A23","E90"
"PTK7","E90"
"PLXNA2","E90"
"LOC695100","E90"
"LOC719898","E90"
"PRSS12","E90"
"TMEM200C","E90"
"PTPRK","E90"
"DDAH1","E90"
"ZBTB34","E90"
"LRRTM1","E90"
"ENPP2","E90"
"RBBP8","E90"
"PDE3A","E90"
"MLF1","E90"
"NGB","E90"
"B3GNT2","E90"
"UNC13C","E90"
"KCNV1","E90"
"LOC710159","E90"
"CDK2AP1","E90"
"LRFN5","E90"
"SLIT1","E90"
"PAPPA2","E90"
"MDGA2","E90"
"FAM5B","E90"
"LOC693492","E90"
"ABHD6","E90"
"NT5DC1","E90"
"EPS8","E90"
"LOC100429485","E90"
"LOC100430346","E90"
"FAM84A","E90"
"MAN2A1","E90"
"LOC713016","E90"
"AKAP7","E90"
"CNTN4","E90"
"FRMPD4","E90"
"ATP8A2","E90"
"CLMP","E90"
"GPR137C","E90"
"LOC574319","E90"
"TSHZ1","E90"
"LOC708205","E90"
"NEGR1","E90"
"RALYL","E90"
"RASGRP2","E90"
"CNTN1","E90"
"PRKCB","E90"
"VIT","E90"
"FOXP1","E90"
"ARID1B","E90"
"PID1","E90"
"CADPS2","E90"
"STC1","E90"
"MFAP3L","E90"
"BZW2","E90"
"LHFP","E90"
"SOX5","E90"
"STK32B","E90"
"MAML3","E90"
"LOC705767","E90"
"LOC703641","E90"
"NEFM","E90"
"EPHX4","E90"
"DOK5","E90"
"LOC100427307","E90"
"ELAVL2","E90"
"BOC","E90"
"NUP93","E90"
"BEND6","E90"
"OCIAD2","E90"
"LOC713590","E90"
"LMO3","E90"
"LINGO2","E90"
"SLC35F1","E90"
"FAM81A","E90"
"CRH","E90"
"CRYM","E90"
"SPHKAP","E90"
"LOC710966","E90"
"TRMT112","E90"
"CSRP2","E90"
"AVPR1A","E90"
"FAM181B","E90"
"FLRT3","E90"
"CYP26A1","E90"
"LOC693620","E90"
"IFT57","E90"
"PDZD2","E90"
"LOC713545","E90"
"LOC706833","E90"
"GRIA2","E90"
"SDK1","E90"
"LOC707295","E90"
"MTHFD1L","E90"
"LOC100427804","E90"
"SYT6","E90"
"ARHGAP20","E90"
"B4GALT6","E90"
"FOXP2","E90"
"DSEL","E90"
"LOC100424714","E90"
"LOC718187","E90"
"SLC12A5","E90"
"ETFB","E90"
"PDGFC","E90"
"MFAP3","E90"
"CNTNAP5","E90"
"LOC717376","E90"
"NFIB","E90"
"HECTD2","E90"
"FDFT1","E90"
"PHF17","E90"
"PCDH17","E90"
"ATXN7L1","E90"
"LOC720466","E90"
"EPHA3","E90"
"CCBE1","E90"
"LOC714010","E90"
"SMAD1","E90"
"LOC699880","E90"
"LOC694650","E90"
"LOC100428777","E90"
"KLF9","E90"
"LOC100426700","E90"
"LOC100424654","E90"
"LOC100425350","E90"
"CNRIP1","E90"
"TGFB3","E90"
"PDE1A","E90"
"ZEB1","E90"
"IGFBP5","E90"
"LOC704104","E90"
"NPTX1","E90"
"NPY","E90"
"LIX1","E90"
"TMEM159","E90"
"LOC709015","E90"
"MB21D2","E90"
"LOC716656","E90"
"OPCML","E90"
"TMOD1","E90"
"LOC718015","E90"
"LOC706392","E90"
"FAM134B","E90"
"CASP3","E90"
"HNMT","E90"
"SLC17A6","E90"
"TDRD7","E90"
"PCDH9","E90"
"LOC100430128","E90"
"MAN1C1","E90"
"DCBLD2","E90"
"CNTN5","E90"
"FAM19A1","E90"
"FAM101A","E90"
"LOC701416","E90"
"PIK3IP1","E90"
"LOC710784","E90"
"TRHDE","E90"
"LOC100428914","E90"
"NUAK1","E90"
"PTPRG","E90"
"GJC1","E90"
"GFRA1","E90"
"SYT4","E90"
"LOC100427578","E90"
"CDH8","E90"
"MAN1A1","E90"
"LOC708314","E90"
"PTPRU","E90"
"PFKFB3","E90"
"NPY1R","E90"
"ILF2","E90"
"SIPA1L2","E90"
"PDYN","E90"
