Source,Gene,candidate,primary_microcephaly,microcephaly,seizures,cortical_atrophy,cerebellar_atrophy,atrophy,CC_agenesis,CC_dysgenesis,CC_hypoplasia,hypotonia,abnormal_brain_MRI
Karaca2015,ACTL6B,1,0,0,0,0,0,0,0,0,0,0,0
Karaca2015,ADSL,0,0,0,0,0,0,0,0,0,0,0,0
Karaca2015,AGBL2,1,0,0,1,1,0,1,0,0,1,0,1
Karaca2015,ALDH7A1,0,0,0,1,0,0,0,0,0,0,0,0
Karaca2015,ANK3,1,0,0,0,0,1,1,0,0,0,0,1
Karaca2015,AP4B1,0,0,0,0,0,0,0,0,0,1,0,1
Karaca2015,AP4B1,0,0,0,0,0,0,0,0,0,0,0,1
Karaca2015,ARHGAP21,1,0,0,1,1,0,1,0,0,1,0,1
Karaca2015,ASH2L,1,0,0,0,0,0,0,0,0,0,0,0
Karaca2015,ASPM,0,1,1,0,0,0,0,0,0,0,0,1
Karaca2015,ASPM,0,1,1,0,0,0,0,0,0,0,0,1
Karaca2015,ASPM,0,1,1,0,0,0,0,0,0,0,0,1
Karaca2015,ASTN1,1,0,0,0,0,0,0,0,0,0,0,1
Karaca2015,ASXL3,0,1,1,0,0,0,0,0,0,0,0,1
Karaca2015,ATRX,0,0,1,0,0,0,0,0,0,0,0,1
Karaca2015,ATRX,0,1,1,0,0,0,0,0,0,0,0,1
Karaca2015,BCOR,0,0,0,0,1,0,1,0,0,0,0,1
Karaca2015,C12orf34,1,0,1,0,0,1,1,0,0,0,0,1
Karaca2015,C12ORF65,0,0,0,0,0,0,0,0,0,1,0,1
Karaca2015,C19ORF12,0,0,0,0,0,0,0,0,0,0,0,0
Karaca2015,CACNA1H,0,0,1,0,1,0,1,0,0,0,0,1
Karaca2015,CDH4,1,0,1,1,1,0,1,0,0,1,0,1
Karaca2015,CDK10,1,0,0,1,0,1,1,0,0,1,0,1
Karaca2015,CDON,0,1,1,0,0,0,0,0,0,0,0,1
Karaca2015,CELSR2,1,0,0,0,0,0,0,0,0,0,0,0
Karaca2015,CEP97,1,0,0,0,0,0,0,0,0,0,0,0
Karaca2015,CINP,1,1,1,1,0,0,0,0,0,0,0,1
Karaca2015,CLN6,0,0,0,0,0,1,1,0,0,0,0,1
Karaca2015,CLP1,0,0,1,0,1,0,1,0,0,0,0,1
Karaca2015,CLP1,0,0,1,0,1,0,1,0,0,1,0,1
Karaca2015,CPLX1,1,0,0,1,1,0,1,0,0,0,0,1
Karaca2015,CSRP2BP,1,0,0,0,0,0,0,0,0,0,0,0
Karaca2015,DARS,0,0,1,0,0,0,0,0,0,0,0,1
Karaca2015,DHCR7,0,0,1,0,0,0,0,0,0,0,0,1
Karaca2015,DHX37,1,1,1,0,0,0,0,0,0,0,0,1
Karaca2015,DHX37,1,0,0,0,0,0,0,0,1,0,0,1
Karaca2015,DSCAML1,1,0,0,0,0,0,0,0,0,0,0,0
Karaca2015,EPB41L1,0,0,0,0,0,0,0,0,0,0,0,0
Karaca2015,GALC,0,0,1,0,1,0,1,0,0,0,0,1
Karaca2015,GLDC,0,0,0,1,0,0,0,1,0,0,0,1
Karaca2015,GRIP1,0,0,0,0,0,0,0,1,0,0,0,1
Karaca2015,GTF3C1,1,0,0,0,0,0,1,0,0,1,0,1
Karaca2015,HADH,0,0,0,0,0,0,0,0,0,0,1,1
Karaca2015,HELZ,1,0,1,0,0,0,0,0,0,0,0,1
Karaca2015,IGFBP4,1,0,1,0,0,0,1,0,0,0,0,1
Karaca2015,INA,1,0,1,1,0,0,0,0,0,0,0,1
Karaca2015,IQSEC2,0,0,0,0,0,0,0,0,1,0,0,1
Karaca2015,ITGA7,0,0,1,1,0,0,0,1,0,0,0,1
Karaca2015,KANK1,0,0,0,0,0,0,1,0,1,0,1,1
Karaca2015,KIF23,1,1,1,0,0,0,0,0,0,0,0,1
Karaca2015,KLHL15,1,0,0,1,1,0,1,0,0,0,0,1
Karaca2015,LARP7,0,0,0,0,0,0,0,0,0,0,0,1
Karaca2015,MCPH1,0,0,0,0,0,0,0,0,0,0,0,1
Karaca2015,MTO1,0,0,0,0,0,0,0,0,1,0,0,1
Karaca2015,MXRA8,1,0,1,0,0,0,0,0,0,0,0,1
Karaca2015,NAGLU,0,0,0,0,0,0,0,0,0,0,0,0
Karaca2015,NAGLU,0,0,0,1,0,0,0,0,0,1,0,1
Karaca2015,NGLY1,0,0,0,0,1,1,1,0,0,0,0,1
Karaca2015,OGDHL,1,0,1,0,0,0,0,1,0,0,0,1
Karaca2015,OPA1,0,0,0,0,0,1,1,0,0,0,0,1
Karaca2015,PIGN,0,0,0,1,0,0,0,0,0,0,0,0
Karaca2015,PLA2G6,0,0,0,1,1,0,1,0,0,0,0,1
Karaca2015,PLCB1,0,0,0,1,0,0,0,0,0,0,0,0
Karaca2015,PLEKHG2,1,0,1,0,0,1,1,0,0,0,1,1
Karaca2015,POMT2,0,0,1,0,0,0,0,1,0,0,0,1
Karaca2015,PRUNE,1,0,1,1,1,0,1,0,0,1,0,1
Karaca2015,PRUNE,1,0,1,1,1,0,1,0,0,0,0,1
Karaca2015,PRUNE,1,0,1,1,1,0,1,0,0,0,0,1
Karaca2015,PRUNE,1,0,1,1,1,0,1,0,0,0,0,1
Karaca2015,PTCHD1,0,0,0,1,0,0,0,0,0,0,0,1
Karaca2015,PTPRT,1,0,1,0,0,0,0,0,0,0,1,1
Karaca2015,RARS2,0,0,0,1,0,1,1,0,0,1,0,1
Karaca2015,ROS1,1,0,0,0,0,0,0,0,0,0,0,0
Karaca2015,RTTN,0,0,1,1,0,0,0,0,0,0,0,1
Karaca2015,SACS,0,0,0,0,0,0,0,0,0,0,0,0
Karaca2015,SLC18A2,1,0,1,1,1,0,1,0,0,1,0,1
Karaca2015,SLITRK5,1,0,1,0,0,0,0,0,0,0,0,1
Karaca2015,SMARCA1,1,0,1,0,1,0,1,0,0,0,0,1
Karaca2015,SNAPIN,1,0,1,0,1,0,1,0,0,0,1,1
Karaca2015,SNX14,0,0,0,0,0,1,1,0,0,0,0,1
Karaca2015,SOX3,0,0,0,0,0,0,0,0,0,0,0,1
Karaca2015,SPG11,0,0,0,0,0,0,0,0,0,0,0,0
Karaca2015,SPTAN1,0,0,1,0,0,1,1,0,0,0,0,1
Karaca2015,STIL,0,1,1,1,0,0,0,0,0,0,0,1
Karaca2015,SVIL,1,0,0,0,0,0,0,0,0,0,1,1
Karaca2015,SYNE1,0,0,1,0,0,0,0,0,0,0,0,1
Karaca2015,TNN,1,0,1,0,0,0,0,0,0,0,0,1
Karaca2015,TTC1,1,0,1,0,0,0,0,0,0,1,0,1
Karaca2015,TTI1,1,1,1,0,0,0,0,0,0,0,0,1
Karaca2015,TUT1,1,0,0,1,0,1,1,0,1,0,0,1
Karaca2015,UBQLN1,1,0,0,0,0,0,0,0,0,0,1,1
Karaca2015,ULK2,1,0,0,0,0,0,0,0,0,0,0,0
Karaca2015,USP11,1,0,0,0,0,0,0,1,0,0,0,1
Karaca2015,VARS,1,0,1,1,1,0,1,0,0,1,0,1
Karaca2015,VARS,1,0,1,1,1,0,1,0,0,0,0,1
Karaca2015,VPS13B,0,0,1,0,1,0,1,0,0,0,0,1
Karaca2015,VPS13B,0,0,1,0,0,0,0,0,0,0,0,1
Karaca2015,WDR62,0,1,1,0,0,0,0,0,0,0,0,1
Karaca2015,ZEB2,0,0,0,1,0,0,0,1,0,0,0,1
Karaca2015,ZNF423,0,0,0,0,0,0,0,0,0,0,0,1
