"","CTX_E16","CTX_E17","CTX_E18","CTX_E20","CTX_P01","CTX_P04","CTX_P07","CTX_P14","CTX_P21","CTX_P30","CTX_P90","HPC_P01","HPC_P04","HPC_P07","HPC_P14","HPC_P21","HPC_P30","HPC_P90","HYP_E18","HYP_E20","HYP_P01","HYP_P04","HYP_P07","HYP_P14","HYP_P21","HYP_P30","HYP_P90"
"TGM2",7.52814476033333,7.4468071265,7.34254471766667,7.41819805583333,7.55415956083333,7.46783435766667,7.5009574285,7.515261345,7.45095642016667,7.49269845133333,7.29405365316667,7.40380604983333,7.39383222233333,7.27704089683333,7.29030949683333,7.2973733585,7.4068593415,7.130979224,7.3243170655,7.4233553805,7.396891612,7.21800330116667,7.298839162,7.23912651933333,7.3572995925,7.389307487,7.38834803083333
"BTG1",11.3479081383333,11.6530797183333,11.621371465,11.3085880983333,10.9929296666667,9.92223975216667,9.32945511816667,9.25399041866667,9.40905592583333,9.288415639,9.02631204883333,11.0502408216667,10.66158281,10.4536241483333,9.960062356,9.9083344415,9.73853927116667,9.92764407933333,11.2788993883333,11.1439400633333,10.5871640066667,10.696902845,10.3927975716667,10.1694514108333,10.0252783033333,10.1265207626667,10.22646843
"NR4A1",6.69039914683333,6.62233281516667,6.68381318483333,6.6276873435,6.98259569016667,6.9448757615,7.2025223935,9.148428392,9.65260558483333,9.905310113,8.82606142,6.888744305,6.827686051,7.03438480316667,7.9022397245,8.5353388685,8.55905299516667,8.35809952816667,6.59588371383333,6.56483503783333,7.13053809766667,6.67152079433333,6.9781251495,7.24259718166667,7.67409214533333,7.51305627216667,7.0321393405
"APOBEC1",5.432147193,5.4022395655,5.37887725683333,5.45091443216667,5.38595513916667,5.36113333766667,5.38636791233333,5.41556880466667,5.44862805483333,5.5233313655,5.39811767533333,5.367297423,5.387253938,5.32844250366667,5.34559495133333,5.38205823733333,5.46659082266667,5.310220577,5.35445434616667,5.35338318433333,5.35658769416667,5.27138286483333,5.321944428,5.28275480366667,5.27809013333333,5.34316828466667,5.38972770783333
"PODXL2",9.3259637475,9.92172119283333,10.2558529583333,10.0047519525,10.201893585,10.3292774866667,10.25142297,9.02740343966667,8.30358150366667,8.225930354,8.430084351,10.2349162883333,10.1931269783333,9.9965486785,8.87700724066667,8.11444309766667,7.60436572316667,7.86223397366667,10.29070657,10.3403977016667,10.4946340966667,10.5223449116667,10.38275884,10.0606517118333,9.98908621516667,9.9446244385,10.0421483675
"DACT2",6.38997214866667,6.32087852766667,6.33008759433333,6.449913057,6.64238481333333,6.69460700133333,7.1410171845,8.93002629233333,9.0027713085,9.25771464,9.58903276933333,6.59929286366667,6.56882873816667,6.6464018825,6.84564647083333,7.23157452566667,7.1782891765,7.565981703,6.93624885333333,6.92481212966667,7.23776580966667,7.37256915616667,7.45468695066667,7.45032987583333,7.32815349816667,7.319868155,7.5006438845
"RGN",5.26394640216667,5.20937436183333,5.20392568666667,5.18311221583333,5.192068741,5.1956730925,5.13633200816667,5.1578896065,5.17645824683333,5.191476636,5.17248490283333,5.19457825866667,5.13068152883333,5.1137768775,5.12295035383333,5.18585469883333,5.16277695483333,5.13026539583333,5.36629405416667,5.26963431583333,5.34361509216667,5.168757392,5.2689877365,5.198669759,5.1961405575,5.27324209566667,5.2457595185
"FABP6",5.27474420066667,5.31570173266667,5.32944299333333,5.316917315,5.29394359216667,5.29055807283333,5.27027308716667,5.31846246866667,5.2972374525,5.34981208,5.29398754833333,5.30903594433333,5.26306478,5.288297191,5.29000015016667,5.2899598765,5.31466118766667,5.24419339833333,5.29216017516667,5.28388556116667,5.2969793775,5.22429960883333,5.26736853916667,5.23892729833333,5.25057944916667,5.28971886,5.29912270416667
"SLC22A7",6.30044597216667,6.26278939616667,6.2994001685,6.27853699966667,6.31993015933333,6.25905370016667,6.26108965233333,6.276201277,6.307658596,6.30411270433333,6.2618819615,6.29456864116667,6.26939441533333,6.22315674266667,6.22103457866667,6.213950977,6.2376518475,6.18935598816667,6.3212583405,6.2391853605,6.263893738,6.21026856933333,6.23071643283333,6.14280861766667,6.154897173,6.2276527955,6.281908208
"TRPC4AP",10.218292865,10.2553602133333,10.28890446,10.25802133,10.2123903733333,10.0945492876667,9.9939109645,9.87848216316667,9.835460592,9.739761742,9.7361233255,10.2016775016667,10.1230781016667,10.0498809005,9.99969053216667,9.96430988366667,9.99899045166667,9.89707534966667,10.21822972,10.2224798433333,10.17460908,10.1118852216667,10.111100655,10.0787771543333,10.1034699466667,10.0892224933333,10.1262334228333
