"Gene","Layer","Age","Region","log2FoldChange","Pvalue"
"LOC698670","L2/L3","E80","ACG",4.44103922405929,9.98230086176023e-06
"C8H8orf79","L2/L3","E80","ACG",3.44567927241416,1.42663889868898e-05
"ZCCHC12","L2/L3","E80","ACG",2.66441632614771,1.54066573906075e-05
"C8H8orf46","L2/L3","E80","ACG",3.22686631698948,2.0307639191677e-05
"CDH13","L2/L3","E80","ACG",5.4193217895058,3.04309241495012e-05
"EGR3","L2/L3","E80","ACG",4.37850196605386,4.82761277560139e-05
"AK5","L2/L3","E80","ACG",2.46839356442829,5.03928307986856e-05
"CBLN2","L2/L3","E80","ACG",5.63735135980919,5.17861486079131e-05
"LOC707129","L2/L3","E80","ACG",4.72427403857609,6.40883428130362e-05
"NRP2","L2/L3","E80","ACG",3.6574697996783,6.69814076926414e-05
"C1H1orf95","L2/L3","E80","ACG",2.92654103165809,7.68371907590682e-05
"HTR2A","L2/L3","E80","ACG",3.65874997069282,8.92622373653612e-05
"SERPINE2","L2/L3","E80","ACG",1.61208917930522,9.83255851828824e-05
"FZD4","L2/L3","E80","ACG",1.45722536483498,0.000107188505391437
"LOC100429846","L2/L3","E80","ACG",2.66455613901512,0.000115120191482085
"CCDC3","L2/L3","E80","ACG",1.05443938105296,0.000148670339345441
"LOC100424932","L2/L3","E80","ACG",2.47858105211372,0.000151213125604173
"ENTPD3","L2/L3","E80","ACG",2.54886791614665,0.000156406724341403
"RCN1","L2/L3","E80","ACG",3.50262519277971,0.000173503978470032
"AVIL","L2/L3","E80","ACG",3.76823793263338,0.000187646816748689
"LOC695412","L2/L3","E80","ACG",3.04186470025447,0.000189928085678417
"HBEGF","L2/L3","E80","ACG",1.08948043467657,0.000190168613520221
"GRIN3A","L2/L3","E80","ACG",3.30186563533862,0.000201628112825704
"MEIS2","L2/L3","E80","ACG",1.17915825191637,0.000219496442221133
"LOC698063","L2/L3","E80","ACG",1.79789939233873,0.000228344790240028
"CALB1","L2/L3","E80","ACG",3.58146715703822,0.00024512672788016
"PDE1A","L2/L3","E80","ACG",4.95426813257586,0.000249672346936758
"LOC709535","L2/L3","E80","ACG",4.29184079520553,0.000255402629227685
"NR0B1","L2/L3","E80","ACG",1.1761120824682,0.000272340662141597
"KCTD15","L2/L3","E80","ACG",1.02987515736818,0.000281820649015213
"CCDC167","L2/L3","E80","ACG",1.97757748780185,0.000282583250463279
"NPR3","L2/L3","E80","ACG",4.1330628892412,0.000289522296342025
"FGF14","L2/L3","E80","ACG",2.49051557669841,0.000304323270695211
"PLP1","L2/L3","E80","ACG",3.05883312950007,0.000308452812254675
"SPINK2","L2/L3","E80","ACG",1.14246969218612,0.000331597172884303
"SPATS2L","L2/L3","E80","ACG",2.24027583163124,0.000343461060610575
"CLDN23","L2/L3","E80","ACG",2.02143356920423,0.000345878912948592
"FZD9","L2/L3","E80","ACG",1.78840750231279,0.000349582283895446
"LOC100430941","L2/L3","E80","ACG",5.09653247315179,0.000355745029249523
"LOC705675","L2/L3","E80","ACG",3.37895655148706,0.000379493016568845
"RAB27B","L2/L3","E80","ACG",1.86671405513178,0.000392166810988523
"SV2B","L2/L3","E80","ACG",4.02527251565091,0.000408224304263199
"VSTM2L","L2/L3","E80","ACG",2.29457289923979,0.0004203538170558
"HSPB1","L2/L3","E80","ACG",1.07785235289602,0.000436519547740806
"LOC708206","L2/L3","E80","ACG",3.71690334302744,0.000456245519196077
"MYH8","L2/L3","E80","ACG",5.90768345250253,0.000457224668333966
"LOC715535","L2/L3","E80","ACG",3.20595077488415,0.000466552868919567
"STAC","L2/L3","E80","ACG",3.19873455561027,0.000467088771867768
"PPP2R2B","L2/L3","E80","ACG",1.06746019156683,0.000469500126692379
"LOC707279","L2/L3","E80","ACG",1.78772275776228,0.000502669725810411
"LOC100429880","L2/L3","E80","ACG",2.92231558962785,0.000523329372757854
"SYT9","L2/L3","E80","ACG",1.14040575507038,0.000529875064929625
"SLIT1","L2/L3","E80","ACG",2.02917131030038,0.000556118967283513
"LOC695487","L2/L3","E80","ACG",2.10350360054018,0.000570385643670803
"LOC719721","L2/L3","E80","ACG",2.07484790364005,0.000574108916466372
"PCDH17","L2/L3","E80","ACG",5.50699468838299,0.00059083695417143
"TMEM201","L2/L3","E80","ACG",1.09246455172313,0.000609891116342594
"NT5DC1","L2/L3","E80","ACG",3.41132625146146,0.000637263231318273
"LMCD1","L2/L3","E80","ACG",1.14741639090757,0.000652698237819453
"LOC707075","L2/L3","E80","ACG",1.34338261872804,0.000654638796591284
"CPNE4","L2/L3","E80","ACG",3.45542021261344,0.000662821397518323
"CPNE8","L2/L3","E80","ACG",5.06440588368481,0.00066516536851809
"LOC100427824","L2/L3","E80","ACG",2.53922085661131,0.00067448849339098
"LOC713954","L2/L3","E80","ACG",2.72704858904332,0.000683621182902184
"TMEM177","L2/L3","E80","ACG",1.10822415799884,0.00069497259342072
"NTF3","L2/L3","E80","ACG",2.86529818810323,0.000727364293648233
"IFI6","L2/L3","E80","ACG",1.71556382804943,0.000751920559990996
"PIR","L2/L3","E80","ACG",2.14548738983308,0.000766524914667402
"LOC718026","L2/L3","E80","ACG",1.05905578684906,0.000772254963881132
"CHCHD6","L2/L3","E80","ACG",1.07208413408584,0.000792828134976272
"DUSP9","L2/L3","E80","ACG",1.54418534398998,0.000803298246805966
"STAT2","L2/L3","E80","ACG",1.17044837455219,0.000810650127954908
"BEND4","L2/L3","E80","ACG",1.99660083637051,0.000839998825112644
"NEUROD1","L2/L3","E80","ACG",3.26457472784422,0.000867088542176218
"ORC6L","L2/L3","E80","ACG",1.24833829484395,0.000916751785818684
"CYP39A1","L2/L3","E80","ACG",2.69729096843586,0.000922407527903469
"PRKCB","L2/L3","E80","ACG",3.16218186317208,0.000935243504858723
"DUSP4","L2/L3","E80","ACG",2.54492510903586,0.000935445011445472
"TMEM200A","L2/L3","E80","ACG",3.86373957596425,0.000945769489246113
"GPR162","L2/L3","E80","ACG",1.58542637401593,0.000955141257363741
"RFTN1","L2/L3","E80","ACG",2.00134915279408,0.000957673241150426
"ADAMTS8","L2/L3","E80","ACG",1.91710151528635,0.000972204148085154
"PRICKLE2","L2/L3","E80","ACG",2.00890219785012,0.000974564772939921
"PRSS12","L2/L3","E80","ACG",2.90342354725415,0.0010146498020658
"ITM2C","L2/L3","E80","ACG",1.49509870240371,0.00104002548692996
"PHYHIP","L2/L3","E80","ACG",1.65135729218018,0.00105536983822204
"SPON1","L2/L3","E80","ACG",1.94174727314748,0.00107154461060554
"HS3ST5","L2/L3","E80","ACG",3.72023683826439,0.00107299145697183
"AHI1","L2/L3","E80","ACG",3.54254128667222,0.00108246667133878
"OLFM4","L2/L3","E80","ACG",2.00178063044131,0.00109405391052077
"SLC25A27","L2/L3","E80","ACG",2.71740993033596,0.00113887245316537
"LOXL1","L2/L3","E80","ACG",1.78699086423359,0.00114227312826455
"APP","L2/L3","E80","ACG",1.09947642399357,0.00114923153276684
"SEMA4G","L2/L3","E80","ACG",1.49419779997775,0.00118547568045094
"SLC8A3","L2/L3","E80","ACG",1.85807405209883,0.00118838012859202
"PSEN2","L2/L3","E80","ACG",1.45929312412216,0.00119691231881555
"STYK1","L2/L3","E80","ACG",1.48732932248419,0.00121730142988775
"NDP","L2/L3","E80","ACG",2.97250818156388,0.00122732782015285
"ABHD6","L2/L3","E80","ACG",1.800363968768,0.00127102448270408
"DERA","L2/L3","E80","ACG",2.28694680852409,0.00131396334185499
"LOC100425879","L2/L3","E80","ACG",2.00165384755542,0.00133704861949945
"C20orf46","L2/L3","E80","ACG",2.24326308158612,0.00134157212088463
"ABLIM3","L2/L3","E80","ACG",1.82634986985348,0.00137439339525339
"MAOB","L2/L3","E80","ACG",2.83431539011351,0.00139676095666084
"LOC695143","L2/L3","E80","ACG",2.14270430827104,0.00140183906693765
"LOC701270","L2/L3","E80","ACG",2.39493964032993,0.00142020692205086
"LOC100427804","L2/L3","E80","ACG",1.84562672017768,0.00144122912347203
"ME3","L2/L3","E80","ACG",1.52684405234494,0.00144982202222909
"RGS7","L2/L3","E80","ACG",2.51997082969729,0.0014511915218769
"SDR16C5","L2/L3","E80","ACG",2.3584127176448,0.0014636417289004
"PPP1R1A","L2/L3","E80","ACG",1.10821431818998,0.00146472663198192
"TDRD6","L2/L3","E80","ACG",4.67742919193232,0.0015231681377252
"USP43","L2/L3","E80","ACG",3.1089630762567,0.00154044033464907
"LOC714427","L2/L3","E80","ACG",1.38464205740743,0.00160092427909816
"SDK2","L2/L3","E80","ACG",1.98073854358679,0.00160524040009482
"LOC100425626","L2/L3","E80","ACG",1.86036647040298,0.0016230247687476
"SPOCK1","L2/L3","E80","ACG",2.10453606719598,0.00163628096801999
"LOC694878","L2/L3","E80","ACG",1.62296149749149,0.00167057008212353
"CYP26A1","L2/L3","E80","ACG",4.00679834803664,0.0016824577675895
"TGFBI","L2/L3","E80","ACG",3.38662514629549,0.00168985307609608
"GALNT14","L2/L3","E80","ACG",1.18834557756941,0.00173709292692129
"LOC717955","L2/L3","E80","ACG",1.91888332097955,0.00183260431281651
"LOC717748","L2/L3","E80","ACG",1.95782326789915,0.00189568700772776
"PTPRU","L2/L3","E80","ACG",4.75306256972414,0.00190391845023745
"NPNT","L2/L3","E80","ACG",1.46454445884204,0.00191679688741441
"LOC100430015","L2/L3","E80","ACG",1.3102787228076,0.00194895835914896
"SC4MOL","L2/L3","E80","ACG",1.09853472021096,0.00196757670447784
"ZNF827","L2/L3","E80","ACG",3.66795681967394,0.00198204010762607
"ECI1","L2/L3","E80","ACG",2.75387605131867,0.00203144291473257
"DDAH1","L2/L3","E80","ACG",3.38982902622133,0.00206694413044316
"LGI1","L2/L3","E80","ACG",2.67290367551076,0.00210937580317634
"LOC705288","L2/L3","E80","ACG",1.07688445738805,0.00218484310591032
"LOC715110","L2/L3","E80","ACG",1.1478796691574,0.00222931345432808
"RAB31","L2/L3","E80","ACG",2.63288436647895,0.00225265406401792
"LOC722330","L2/L3","E80","ACG",2.96972182700722,0.00226600213192897
"CTSB","L2/L3","E80","ACG",1.14315059177591,0.00226980976571478
"LOC717880","L2/L3","E80","ACG",1.84289659825296,0.00231855160201958
"LOC722347","L2/L3","E80","ACG",1.43393972195909,0.00234526296956793
"TPD52L1","L2/L3","E80","ACG",1.38443287033345,0.00235582568366173
"MT3","L2/L3","E80","ACG",1.18273103012305,0.00235723899425517
"ATP1B1","L2/L3","E80","ACG",1.03745964406373,0.00238625913826345
"ALDH7A1","L2/L3","E80","ACG",1.09282920754079,0.00247362525481969
"PSD2","L2/L3","E80","ACG",1.15071163337116,0.00254439304419368
"GHR","L2/L3","E80","ACG",2.41899168443297,0.00258333672956081
"PPIC","L2/L3","E80","ACG",2.19441801108283,0.00264770009529042
"OAT","L2/L3","E80","ACG",1.41762079326798,0.00267495924045568
"LOC698788","L2/L3","E80","ACG",1.31441938584831,0.00268014982031909
"LOC100430777","L2/L3","E80","ACG",1.15257790169949,0.00270153158784707
"RRAS2","L2/L3","E80","ACG",2.90632982633438,0.00274440230209519
"RND2","L2/L3","E80","ACG",1.31484087125315,0.00275656517443844
"KIFC3","L2/L3","E80","ACG",1.27358839407374,0.00281385978951487
"SLITRK4","L2/L3","E80","ACG",2.59001944330143,0.00281865367422733
"PRKCA","L2/L3","E80","ACG",1.89735155218112,0.00282740957295462
"DIAPH3","L2/L3","E80","ACG",1.51706082066687,0.00286010978703823
"LOC714346","L2/L3","E80","ACG",2.05554091045341,0.00290108629426144
"LOC100427660","L2/L3","E80","ACG",1.04506604363034,0.00290990324785432
"LOC716399","L2/L3","E80","ACG",1.46557460439355,0.00292593223365707
"HTRA1","L2/L3","E80","ACG",2.61352077730048,0.00293301895968916
"LOC712742","L2/L3","E80","ACG",1.332017366029,0.00297313469588567
"TMEM132E","L2/L3","E80","ACG",1.30839915739135,0.00298176292680517
"COCH","L2/L3","E80","ACG",2.17914255476732,0.00301826901109582
"GLT25D2","L2/L3","E80","ACG",1.81577168032938,0.00302662768803316
"CA10","L2/L3","E80","ACG",3.45118617764316,0.00303886520720894
"TRNP1","L2/L3","E80","ACG",1.24735594891171,0.00305200429273718
"LOC703641","L2/L3","E80","ACG",2.47517127183075,0.00308550868507644
"IGFBP3","L2/L3","E80","ACG",1.10615445504871,0.00309631432049054
"LOC695315","L2/L3","E80","ACG",1.74929354056616,0.0031784927867447
"TMEFF2","L2/L3","E80","ACG",2.94584109785894,0.00322336993535285
"ASTN2","L2/L3","E80","ACG",1.37656411970641,0.00325248298052312
"MAMU-A","L2/L3","E80","ACG",1.0872939896978,0.00326338842589308
"LOC718726","L2/L3","E80","ACG",2.70968412227956,0.0032649425113229
"ABAT","L2/L3","E80","ACG",1.94319233103035,0.00334180685401804
"SCN9A","L2/L3","E80","ACG",2.20204018476765,0.00336292109498804
"CPNE2","L2/L3","E80","ACG",2.43051638863342,0.00336358740098778
"BHLHE40","L2/L3","E80","ACG",1.39409066086282,0.0033905280751625
"ANO3","L2/L3","E80","ACG",3.19752293232447,0.00341571792454857
"PPAPDC1A","L2/L3","E80","ACG",1.88760619928937,0.00346100631988123
"ATP8A2","L2/L3","E80","ACG",1.02043971032404,0.00347263728590007
"PSD3","L2/L3","E80","ACG",1.98481790897407,0.00366681991280052
"LOC720209","L2/L3","E80","ACG",3.09575424806704,0.00372690638351058
"LOC713016","L2/L3","E80","ACG",2.01356856652149,0.00376721733840068
"TAL2","L2/L3","E80","ACG",2.60446942425546,0.00386363589275002
"PPM1M","L2/L3","E80","ACG",1.42099733942502,0.00388639062486212
"SYNGR3","L2/L3","E80","ACG",1.45026330285923,0.00389011267243358
"CCNA1","L2/L3","E80","ACG",1.37176190249342,0.00392545749319973
"KLHL29","L2/L3","E80","ACG",1.27057942215605,0.00395571539292444
"LOC708067","L2/L3","E80","ACG",2.82002863180284,0.00397042488865306
"CSPG5","L2/L3","E80","ACG",1.19782891909746,0.00401666367792161
"LOC720466","L2/L3","E80","ACG",2.19035540706396,0.0040179803926181
"EPB41L5","L2/L3","E80","ACG",1.00038825910274,0.0040366531867518
"G0S2","L2/L3","E80","ACG",1.28140727679874,0.0040488022292704
"SVOP","L2/L3","E80","ACG",1.50298811843357,0.0040692436558043
"MRAP2","L2/L3","E80","ACG",1.79865553551078,0.00415377583957058
"LOC100429418","L2/L3","E80","ACG",2.95058465549313,0.00417935508925923
"LOC708827","L2/L3","E80","ACG",1.54286351140185,0.00418799371035619
"LOC100430565","L2/L3","E80","ACG",1.52442402963906,0.00419307210617974
"FADS3","L2/L3","E80","ACG",1.31341068340763,0.00420260705730947
"LOC706465","L2/L3","E80","ACG",1.03986303848934,0.00422306584066016
"SPRY4","L2/L3","E80","ACG",1.90521120884231,0.00424379795124019
"LOC712238","L2/L3","E80","ACG",2.38171584158351,0.00431094640577995
"IL17RD","L2/L3","E80","ACG",1.17452717982031,0.00438640170780392
"DTNA","L2/L3","E80","ACG",2.14837919974067,0.00440673052658187
"KLHDC8A","L2/L3","E80","ACG",1.50301960178806,0.0044459539268451
"LOC701263","L2/L3","E80","ACG",1.35768805214753,0.00454298517120345
"TAC1","L2/L3","E80","ACG",4.42095226337228,0.00459361181287124
"LOC704611","L2/L3","E80","ACG",1.28333331876274,0.00464296502113712
"LOC703647","L2/L3","E80","ACG",1.73222211085555,0.0046640518225877
"CALY","L2/L3","E80","ACG",1.56737553634469,0.0046805283668905
"GFRA1","L2/L3","E80","ACG",2.85953321118168,0.00478994153336411
"GPRC5B","L2/L3","E80","ACG",1.02480193157236,0.00481989080341933
"IL1RAPL1","L2/L3","E80","ACG",1.59888742853178,0.0049131310412699
"APLP2","L2/L3","E80","ACG",1.51527273780829,0.00491745794351648
"CIB1","L2/L3","E80","ACG",1.65395047346041,0.00494864022721383
"PGM1","L2/L3","E80","ACG",1.77290160433786,0.00495953485158017
"LOC100429485","L2/L3","E80","ACG",3.72995597256319,0.00500057121940459
"LOC100425338","L2/L3","E80","ACG",2.33894564589727,0.00503488233160554
"LOC713917","L2/L3","E80","ACG",1.90401603118596,0.00505604725005693
"IGFBP4","L2/L3","E80","ACG",2.1032909075183,0.00511301525856592
"TPD52","L2/L3","E80","ACG",2.4349497440327,0.0051897441162985
"LOC695290","L2/L3","E80","ACG",1.41609390693732,0.00520715620618702
"BMP2","L2/L3","E80","ACG",2.78651783389251,0.00521603505365039
"DCLK2","L2/L3","E80","ACG",1.56371121488611,0.00521834423121125
"LOC700098","L2/L3","E80","ACG",1.40624218269425,0.00526639283818992
"ENC1","L2/L3","E80","ACG",1.20790184094028,0.0052721450601255
"CDK5R2","L2/L3","E80","ACG",1.97452844464063,0.00529765901773233
"LOC696983","L2/L3","E80","ACG",3.18492860915259,0.00538667107491444
"BDNF","L2/L3","E80","ACG",1.4839847987136,0.00539515389054539
"TPPP3","L2/L3","E80","ACG",1.67986595068187,0.00544679429631934
"RCAN2","L2/L3","E80","ACG",2.11211636098022,0.00549853462800639
"HS3ST2","L2/L3","E80","ACG",1.5215787684563,0.00550951299480631
"LOC100425520","L2/L3","E80","ACG",1.65876210672099,0.00552364144497888
"PALLD","L2/L3","E80","ACG",2.00718703025421,0.00555803939553916
"PPEF1","L2/L3","E80","ACG",1.97157470049972,0.00556857523654196
"CATSPERG","L2/L3","E80","ACG",1.53405899368838,0.00561495849847365
"TGFA","L2/L3","E80","ACG",2.08897572348475,0.00562807263447023
"LOC100424360","L2/L3","E80","ACG",2.18623970849248,0.00566840908751632
"DGKH","L2/L3","E80","ACG",1.77881325402399,0.00570287580155646
"PDGFRA","L2/L3","E80","ACG",2.48065142635579,0.00582382139384483
"PPM1J","L2/L3","E80","ACG",1.12774647286425,0.00584717708934588
"S1PR2","L2/L3","E80","ACG",1.24829081082007,0.00592381728452526
"LOC696317","L2/L3","E80","ACG",1.88942745085232,0.00593445108881421
"LOC706509","L2/L3","E80","ACG",1.35355699425209,0.00600887563682131
"KLHDC8B","L2/L3","E80","ACG",1.79673386468463,0.00601001869933552
"HAS3","L2/L3","E80","ACG",1.75172428787721,0.00604107750919439
"SIRPA","L2/L3","E80","ACG",1.02465684382602,0.00604517074347613
"B3GNT2","L2/L3","E80","ACG",3.14448294269353,0.00617259005977102
"UBE2E2","L2/L3","E80","ACG",1.04866970357421,0.00620364317685029
"CNTN4","L2/L3","E80","ACG",1.78101523691013,0.00631672691222977
"GPR37","L2/L3","E80","ACG",2.28865658997297,0.00635043855007165
"LOC699459","L2/L3","E80","ACG",1.86508393772889,0.00641075517506428
"LOC719023","L2/L3","E80","ACG",1.09645101611633,0.00642280348539792
"CHST8","L2/L3","E80","ACG",1.16301949248372,0.00645647945563382
"PRSS23","L2/L3","E80","ACG",1.30912648768979,0.00646568093409955
"FIBIN","L2/L3","E80","ACG",1.04739658938244,0.00649032230146003
