gene_id,symbol,name,chr,start,end,set
375790,AGRN,agrin,1,955503,991496,post
55210,ATAD3A,"ATPase family, AAA domain containing 3A",1,1447531,1470065,post
2782,GNB1,"guanine nucleotide binding protein (G protein), beta polypeptide 1",1,1716725,1822495,post
57470,LRRC47,leucine rich repeat containing 47,1,3696784,3713068,post
8514,KCNAB2,"potassium voltage-gated channel, shaker-related subfamily, beta member 2",1,6051526,6161253,post
6146,RPL22,ribosomal protein L22,1,6241329,6269449,post
11332,ACOT7,acyl-CoA thioesterase 7,1,6324333,6454451,post
55735,DNAJC11,"DnaJ (Hsp40) homolog, subfamily C, member 11",1,6694228,6761984,post
9341,VAMP3,vesicle-associated membrane protein 3 (cellubrevin),1,7831329,7841492,post
11315,PARK7,"Parkinson disease (autosomal recessive, early onset) 7",1,8014351,8045565,post
2023,ENO1,"enolase 1, (alpha)",1,8921061,8939308,post
5226,PGD,phosphogluconate dehydrogenase,1,10458649,10480201,post
26232,FBXO2,F-box protein 2,1,11708283,11715842,post
9927,MFN2,mitofusin 2,1,12040238,12073571,post
79180,EFHD2,"EF-hand domain family, member D2",1,15736391,15756839,post
11240,PADI2,"peptidyl arginine deiminase, type II",1,17393256,17445948,post
84966,IGSF21,"immunoglobin superfamily, member 21",1,18434240,18704977,post
8659,ALDH4A1,"aldehyde dehydrogenase 4 family, member A1",1,19180707,19247618,post
23352,UBR4,ubiquitin protein ligase E3 component n-recognin 4,1,19401000,19536770,post
23065,KIAA0090,KIAA0090,1,19542158,19578046,post
8574,AKR7A2,"aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)",1,19630459,19638640,post
832,CAPZB,"capping protein (actin filament) muscle Z-line, beta",1,19665270,19812033,post
1650,DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase,1,20978270,20988000,post
5909,RAP1GAP,RAP1 GTPase activating protein,1,21922708,21995856,post
998,CDC42,"cell division cycle 42 (GTP binding protein, 25kDa)",1,22379120,22419437,post
714,C1QC,"complement component 1, q subcomponent, C chain",1,22970123,22974603,post
6135,RPL11,ribosomal protein L11,1,24018269,24022915,post
2810,SFN,stratifin,1,27189653,27190947,post
10163,WASF2,"WAS protein family, member 2",1,27730730,27816669,post
23673,STX12,syntaxin 12,1,28099694,28150963,post
93974,ATPIF1,ATPase inhibitory factor 1,1,28562620,28573410,post
2035,EPB41,"erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)",1,29213628,29446958,post
51102,MECR,mitochondrial trans-2-enoyl-CoA reductase,1,29519385,29557454,post
2170,FABP3,"fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)",1,31838472,31849697,post
3932,LCK,lymphocyte-specific protein tyrosine kinase,1,32716840,32751766,post
65108,MARCKSL1,MARCKS-like 1,1,32799433,32801980,post
8565,YARS,tyrosyl-tRNA synthetase,1,33240840,33283754,post
3208,HPCA,hippocalcin,1,33351595,33364042,post
58512,DLGAP3,"discs, large (Drosophila) homolog-associated protein 3",1,35331037,35395186,post
6421,SFPQ,splicing factor proline/glutamine-rich,1,35641979,35658749,post
23154,NCDN,neurochondrin,1,36023074,36032875,post
27095,TRAPPC3,trafficking protein particle complex 3,1,36602173,36615098,post
55700,MAP7D1,MAP7 domain containing 1,1,36621194,36646450,post
23499,MACF1,microtubule-actin crosslinking factor 1,1,39546988,39952789,post
8761,PABPC4,"poly(A) binding protein, cytoplasmic 4 (inducible form)",1,40026485,40042521,post
10487,CAP1,"CAP, adenylate cyclase-associated protein 1 (yeast)",1,40505905,40538321,post
6513,SLC2A1,"solute carrier family 2 (facilitated glucose transporter), member 1",1,43391519,43424530,post
5792,PTPRF,"protein tyrosine phosphatase, receptor type, F",1,43990858,44089343,post
11004,KIF2C,kinesin family member 2C,1,45205490,45233439,post
6202,RPS8,ribosomal protein S8,1,45240923,45244451,post
5052,PRDX1,peroxiredoxin 1,1,45976708,45988719,post
10327,AKR1A1,"aldo-keto reductase family 1, member A1 (aldehyde reductase)",1,46016215,46035721,post
2166,FAAH,fatty acid amide hydrolase,1,46859937,46879520,post
51727,CMPK1,"cytidine monophosphate (UMP-CMP) kinase 1, cytosolic",1,47799469,47844511,post
1376,CPT2,carnitine palmitoyltransferase 2,1,53662101,53679869,post
8613,PPAP2B,phosphatidic acid phosphatase type 2B,1,56960419,57110974,post
85440,DOCK7,dedicator of cytokinesis 7,1,62920399,63153969,post
9829,DNAJC6,"DnaJ (Hsp40) homolog, subfamily C, member 6",1,65713902,65881552,post
5142,PDE4B,"phosphodiesterase 4B, cAMP-specific",1,66258197,66840262,post
84251,SGIP1,SH3-domain GRB2-like (endophilin) interacting protein 1,1,66999066,67213982,post
55970,GNG12,"guanine nucleotide binding protein (G protein), gamma 12",1,68167149,68299150,post
57554,LRRC7,leucine rich repeat containing 7,1,70034081,70589167,post
55631,LRRC40,leucine rich repeat containing 40,1,70610488,70671303,post
257194,NEGR1,neuronal growth regulator 1,1,71868625,72748417,post
1429,CRYZ,"crystallin, zeta (quinone reductase)",1,75171170,75199092,post
10026,PIGK,"phosphatidylinositol glycan anchor biosynthesis, class K",1,77554675,77685115,post
26289,AK5,adenylate kinase 5,1,77747662,78025654,post
11080,DNAJB4,"DnaJ (Hsp40) homolog, subfamily B, member 4",1,78444859,78483648,post
